Hour,Microgrid,DER,Type,P_kW,Q_kvar,Rating_kVA
23,MG1,mg1_gen1,Solar,-0.0,-0.0,125.0
23,MG1,mg1_gen2,Solar,-0.0,-0.0,125.0
23,MG1,mg1_gen3,Battery,-96.84258054293528,-0.0005518739112262666,100.0
23,MG1,mg1_gen4,Diesel,-0.0,-0.0,350.0
23,MG2,mg2_gen1,Solar,-0.0,-0.0,375.0
23,MG2,mg2_gen5,Solar,-0.0,-0.0,375.0
23,MG2,mg2_gen3,Battery,-48.4213671944848,-0.0003442559254847311,50.0
23,MG2,mg2_gen4,Diesel,-0.0,-0.0,750.0
23,MG2,mg2_gen6,Diesel_support,-0.0,-0.0,750.0
23,MG3,stor42,Battery,-0.0,-0.0,1200.0
23,MG3,gen401,Diesel,-0.0,-0.0,1200.0
23,MG4,stor105,Battery,-0.0,-0.0,1200.0
23,MG4,gen1011,Diesel,-0.0,-0.0,1200.0
